X1_f1,X1_f2,X1_f3,X1_f4,X1_f5,X1_f6,X1_f7,X1_f8,X1_f9,X1_f10,X1_f11,X1_f12,X1_f13,X1_f14,X1_f15,X2_f1,X2_f2,X2_f3,X2_f4,X2_f5,X2_f6,X2_f7,X2_f8,X2_f9,X2_f10,label,perm_1,perm_2,perm_3,perm_4,perm_5,perm_6,perm_7,perm_8,perm_9,perm_10
0.0,0.13222222222222219,0.02964285714285714,0.0,0.0,0.0,0.125,0.07596491228070175,1.0,1.0,0.0,0.0,0.0,0.064,0.0,0.538435085036952,0.8870961272828111,1.0711551910243218,1.100700111613979,1.5324306634700573,0.9838543811317813,0.9869654116577148,1.0062523270931467,1.2248510938865669,1.8722198800423733,-1.0,340.0,364.0,379.0,97.0,344.0,57.0,526.0,476.0,607.0,535.0
0.0,0.2566666666666667,0.06553571428571428,0.0,0.0,0.0,0.125,0.15210526315789474,0.0,1.0,0.0,1.0,0.0,0.13,0.002,0.8192414719616542,1.5219985321006186,1.9921396403229792,1.8100009632288938,2.0805243192187524,1.488950766761713,1.6498753333516532,1.7200190058418183,0.798175893230388,1.2766210440923536,-1.0,584.0,25.0,108.0,555.0,61.0,423.0,380.0,584.0,420.0,338.0
1.0,0.3888888888888889,0.21428571428571427,0.0,0.0,0.38461538461538464,0.0,0.03508771929824561,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1789386733347773,2.106397766566287,2.0083236009020062,1.2276846348805126,1.6796304412051208,0.7787395963654882,0.9561641939879918,1.808890028778489,0.8012867328054254,2.027764705912832,-1.0,184.0,428.0,207.0,258.0,320.0,440.0,244.0,270.0,597.0,480.0
0.0,0.5449206349206349,0.21571428571428572,0.0,0.0,0.38461538461538464,0.0,0.0014035087719298247,1.0,1.0,0.0,1.0,0.0,0.0,0.0269,1.599649550000852,2.3793170348932495,2.2409909931141527,2.1309035024250127,2.690401424964645,2.2813789351541276,2.508984562470875,2.356552990692782,1.8905226431956774,2.438496079878227,-1.0,274.0,114.0,274.0,52.0,630.0,8.0,413.0,96.0,595.0,212.0
1.0,0.5092063492063492,0.375,0.0,0.0,0.6153846153846154,0.0,0.17543859649122806,0.0,0.0,0.1044776119402985,0.0,0.0,0.0,0.0,1.606599450430621,2.195178940815258,1.5453098363715543,0.9213465488675572,1.0231675505506834,1.0420905041906339,1.2109773255133314,1.8922269005759444,1.2742919967407975,1.3871922596091866,-1.0,391.0,62.0,214.0,568.0,37.0,386.0,216.0,393.0,171.0,651.0
0.0,0.36380952380952386,0.15767857142857142,0.5,0.5,0.38461538461538464,0.0,0.008771929824561403,0.0,0.0,0.14925373134328357,0.0,0.0,0.16,0.0,1.609037852011224,1.7647035162519455,1.1482506730168938,0.7676830733737721,0.813036394976703,1.3238640843580056,1.2518733213186892,1.6425927005423144,1.3317814099434724,0.7307720300254527,-1.0,198.0,480.0,273.0,48.0,539.0,155.0,322.0,246.0,504.0,299.0
0.0,0.23015873015873015,0.03125,0.0,0.0,0.46153846153846156,0.0,0.03368421052631579,0.0,0.0,0.04477611940298507,0.0,0.0,0.198,0.0,0.8169367821618582,0.7133632791443559,0.3801107134838345,0.48586344760132544,0.3035154264211505,0.5284110295111839,0.5512184119950277,0.7957812686927757,0.6586211952885532,0.3947284761056274,-1.0,309.0,81.0,418.0,391.0,280.0,200.0,302.0,98.0,258.0,580.0
1.0,0.15079365079365079,0.20982142857142858,0.0,0.0,0.6153846153846154,0.0,0.11122807017543859,0.0,0.0,0.14925373134328357,1.0,0.0,0.06,0.00245,1.43939603591962,2.626345493161955,2.266426472109623,1.603200115061132,1.592199174633154,1.7459074784295954,1.76137263010114,2.2855939818541757,1.0908056653110225,1.4866097871876502,-1.0,377.0,169.0,58.0,251.0,187.0,382.0,298.0,601.0,412.0,559.0
0.0,0.12825396825396823,0.008928571428571428,0.0,0.0,0.07692307692307693,0.125,0.023333333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.36277240385963705,0.6292651849880577,0.9288886298568181,0.8728474395024195,1.0598051709047782,0.39945026259611205,0.38310855356507356,0.6856958643679668,0.33719042743125754,1.070349475648444,-1.0,194.0,267.0,118.0,553.0,518.0,330.0,215.0,206.0,479.0,638.0
1.0,0.08603174603174606,0.3066071428571429,0.0,0.0,0.15384615384615385,0.125,0.02631578947368421,0.0,0.0,0.1044776119402985,1.0,0.0,0.048,0.0,0.9354860737600329,2.1758405041493263,2.1269649339860157,1.2880934477590946,1.4429799942299153,1.366778438735591,1.4915158711149668,1.8328100037005093,0.8867918017412199,1.2090549428163169,-1.0,223.0,242.0,114.0,622.0,235.0,2.0,71.0,545.0,424.0,210.0
0.0,0.17857142857142858,0.4017857142857143,0.0,0.0,0.0,0.0,0.08771929824561403,0.0,0.0,0.2537313432835821,1.0,0.0,0.1,0.01208,0.9545668890909891,1.2410754835284068,1.4892992951809656,1.0870404166759542,1.2130256514817033,1.2864603256849982,1.5547762443780264,1.3722803511275192,0.9725974591112304,0.6123479067379471,-1.0,505.0,251.0,49.0,341.0,171.0,348.0,75.0,82.0,69.0,359.0
0.0,0.15079365079365079,0.03571428571428571,0.0,0.0,0.0,0.0,0.029298245614035087,0.0,1.0,0.0,1.0,1.0,0.15,0.0,1.0741267340608498,2.1521246860921766,2.2908185409590733,1.874145220877695,2.7812378465395358,1.5648929143873649,2.3582897636199274,2.4607830854076287,1.3849469836981925,1.956179148639772,-1.0,557.0,305.0,387.0,572.0,262.0,388.0,429.0,462.0,489.0,349.0
1.0,0.5396825396825397,0.2857142857142857,0.0,0.0,0.0,0.0,0.27631578947368424,0.0,0.0,0.08955223880597014,0.0,0.0,0.0,0.0126,1.0212567457114272,1.615378249084189,1.334819485148643,0.5671800138328797,0.9408350761067602,0.6980491801657773,0.9695635804472709,1.4097172300737544,0.887970912850415,0.930310323924882,-1.0,431.0,315.0,72.0,27.0,516.0,278.0,626.0,465.0,274.0,527.0
1.0,0.216984126984127,0.5178571428571429,0.0,0.0,0.7692307692307693,0.125,0.10824561403508771,0.0,0.0,0.014925373134328358,1.0,0.0,0.06,0.00011,1.7920491455307714,2.938642875235132,2.4629187639839887,1.8340583217910633,1.7394110168252988,1.9491566424127102,2.122540619110804,2.6566301927708476,1.5745515208091339,1.7112136766974362,-1.0,427.0,59.0,38.0,643.0,492.0,14.0,387.0,138.0,50.0,93.0
1.0,0.43523809523809526,0.23214285714285715,0.0,0.0,0.6153846153846154,0.0,0.017543859649122806,0.0,0.0,0.04477611940298507,0.0,0.0,0.0725,0.0,1.3588449297682441,2.0241440164718187,1.3585924826705396,0.7577330082626462,0.8385691394053879,0.8148102085252742,0.9366430378827313,1.6485698302128597,0.9986504936837077,1.2531347751624382,-1.0,40.0,71.0,236.0,359.0,397.0,550.0,58.0,287.0,370.0,616.0
1.0,0.03301587301587302,0.02089285714285714,0.0,0.0,0.0,0.125,0.05263157894736842,0.0,0.0,0.029850746268656716,1.0,0.0,0.05,0.0,0.4980653957314653,1.8493854893374224,1.8349247931521395,1.1270653481824973,1.2862945519111812,1.1887858419314445,1.1898187570650136,1.482276789886123,0.4553448717396561,0.8963360522449003,-1.0,118.0,225.0,145.0,344.0,291.0,460.0,52.0,8.0,76.0,48.0
1.0,0.5277777777777778,0.4642857142857143,0.0,0.0,0.23076923076923078,0.25,0.1812280701754386,0.0,0.0,0.13432835820895522,0.0,0.0,0.0,0.0,1.3468436121504004,2.0043843929585274,1.590123264913524,0.8825694658125884,1.028334492233946,0.9728575971482127,1.1473734219386789,1.7119633560827356,1.3991636685437168,1.2468118343481034,-1.0,345.0,141.0,390.0,368.0,75.0,233.0,572.0,353.0,561.0,71.0
0.0,0.6798412698412698,0.6607142857142857,0.0,0.0,0.07692307692307693,0.25,0.5263157894736842,0.0,0.0,0.2537313432835821,0.0,0.0,0.0,0.0,1.5847861707076716,1.2619043787311723,1.1352788426276503,1.016884047010567,1.0313127630512715,1.271907151991773,1.5783878533617721,1.5950840354421518,1.8797393224612553,0.7376081712286652,-1.0,321.0,601.0,450.0,505.0,351.0,581.0,523.0,259.0,422.0,65.0
0.0,0.6931746031746032,0.30357142857142855,0.0,0.0,0.8461538461538461,0.125,0.24561403508771928,0.0,0.0,0.04477611940298507,1.0,0.0,0.0,0.0,2.052094734127885,2.4418727483420515,1.7420441776084354,1.922880007002766,1.6979005534014147,2.2829008669400555,2.4006432260161126,2.4483609326207723,1.776509437921157,1.0672704215251785,-1.0,469.0,237.0,600.0,28.0,568.0,430.0,198.0,69.0,513.0,139.0
0.0,0.44968253968253963,0.037142857142857144,0.0,0.0,0.6923076923076923,0.0,0.17543859649122806,0.0,0.0,0.08955223880597014,0.0,0.0,0.25,0.1,1.4148737697530236,1.2026722413650637,0.6551294550574838,0.9222596094727276,0.5863653597712657,1.051644078522915,1.0272478215417615,1.3727273600895118,1.1292860961459141,0.6799285181744067,-1.0,113.0,441.0,365.0,547.0,501.0,97.0,214.0,641.0,165.0,273.0
0.0,0.24603174603174602,0.5282142857142856,0.0,0.0,0.9230769230769231,0.0,0.17684210526315788,0.0,0.0,0.07462686567164178,0.0,0.0,0.084,0.0,1.6720207640039573,1.3853368718889816,0.8683895990417537,0.9843836752839034,0.6372981376248487,1.0734647038352885,1.2262515969673746,1.5701866344648154,1.471198184690448,1.0154497568131051,-1.0,73.0,474.0,253.0,613.0,530.0,592.0,405.0,182.0,491.0,312.0
0.0,0.44841269841269843,0.3496428571428571,0.0,0.0,0.7692307692307693,0.125,0.2792982456140351,0.0,0.0,0.11940298507462686,1.0,0.0,0.0,0.0,1.8563301685687574,2.2185497496421305,1.7420043799327944,1.8709994352485717,1.5917954492447364,2.176420364638707,2.2369461305393736,2.287701925847519,1.6774259388571198,1.0729686969825427,-1.0,87.0,91.0,587.0,558.0,424.0,305.0,608.0,329.0,131.0,314.0
0.0,0.5674603174603174,0.27089285714285716,0.0,0.0,0.23076923076923078,0.25,0.26614035087719295,0.0,0.0,0.22388059701492538,0.0,0.0,0.0,0.05,1.2277889146116474,1.099005309932124,0.7845013892040374,0.8547820160458253,0.7160970000006294,1.0568867207333155,1.0575252706967553,1.1727082868859953,1.3380016531879393,0.598162868588367,-1.0,467.0,198.0,649.0,537.0,46.0,316.0,435.0,505.0,505.0,73.0
1.0,0.36507936507936506,0.18303571428571427,0.0,0.0,0.8461538461538461,0.0,0.17543859649122806,0.0,1.0,0.0,0.0,0.0,0.0,0.04,1.6696615629056,2.558976235790338,2.1873138484058683,1.6949024123364216,1.8335996186261725,1.2724350377200542,1.2773362342866572,2.314401189527117,1.1438362484191822,2.3622318203852335,-1.0,645.0,116.0,71.0,104.0,569.0,552.0,489.0,325.0,380.0,599.0
1.0,0.14015873015873012,0.38392857142857145,0.0,0.0,0.6153846153846154,0.0,0.01456140350877193,0.0,0.0,0.07462686567164178,0.0,0.0,0.0,0.0056,1.191153470840249,1.8300867284762832,1.3504276770900243,0.7036937165320866,0.7072771140951789,0.6932630120991348,0.7804683517424039,1.4817427597386728,0.916295889701201,1.3335996329417439,-1.0,150.0,234.0,239.0,53.0,400.0,300.0,375.0,231.0,281.0,248.0
0.0,0.22349206349206346,0.05357142857142857,0.0,0.0,0.6923076923076923,0.0,0.07017543859649122,0.0,0.0,0.16417910447761194,0.0,0.0,0.217,0.00035,1.1508052535569062,1.005747992350836,0.5811256809135428,0.7216096653188493,0.41021247331396793,0.787939670180719,0.7190469039160031,1.090758169681868,0.924170502138276,0.642581765500232,-1.0,534.0,159.0,198.0,365.0,561.0,631.0,415.0,26.0,589.0,146.0
0.0,0.21428571428571427,0.056607142857142856,0.0,0.0,0.15384615384615385,0.125,0.0643859649122807,0.0,0.0,0.1791044776119403,0.0,0.0,0.2915,0.00713,0.6770792259303008,0.556461765525352,0.49620630398640825,0.4670916360301113,0.32412589841911343,0.48938545452688836,0.5050518613485177,0.7143091227718205,0.7685462538497949,0.32153141168706784,-1.0,116.0,321.0,22.0,574.0,42.0,267.0,249.0,92.0,382.0,353.0
1.0,0.14682539682539683,0.41964285714285715,0.0,0.0,0.7692307692307693,0.125,0.017543859649122806,0.0,0.0,0.029850746268656716,0.0,0.0,0.15,0.00551,1.4256407031030447,2.0586254577163277,1.5011510682134548,0.959799586872693,0.7850990343985998,0.8984957239086836,0.9750118223494862,1.7937790927612758,1.2580056614798039,1.468791485352151,-1.0,25.0,398.0,636.0,479.0,619.0,593.0,217.0,295.0,235.0,496.0
0.0,0.2222222222222222,0.02089285714285714,0.5,0.5,0.15384615384615385,0.0,0.008771929824561403,0.0,0.0,0.029850746268656716,1.0,0.0,0.13,0.005,1.3194119596724359,2.0949325563854786,1.7367162126186102,1.3189955198040018,1.4505189398369398,1.9526259816791711,1.8954670366894786,1.9432811238458851,1.0626065918523286,0.6056763929728533,-1.0,69.0,493.0,499.0,167.0,170.0,242.0,532.0,438.0,328.0,32.0
0.0,0.6480952380952381,0.33625,0.0,0.0,1.0,0.875,0.5057894736842105,0.0,0.0,0.16417910447761194,0.0,0.0,0.015,0.003,2.1726284023631126,2.249431452017201,1.3358815912410107,2.0953085718555826,1.1548695040436943,2.2798366629516846,1.8351733247525086,2.3217524915663317,2.67050400496301,1.2506037572713151,-1.0,494.0,435.0,538.0,633.0,348.0,497.0,241.0,41.0,349.0,138.0
0.0,0.32412698412698415,0.3275,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.1791044776119403,0.0,0.0,0.0,0.00221,0.7169418996932213,0.5201414522781752,0.509413673231719,0.3022532669453542,0.43281458395985783,0.4334047656036603,0.6449088654675481,0.6356776433921824,0.7396031064008547,0.33675355468538987,-1.0,370.0,471.0,430.0,534.0,283.0,389.0,3.0,164.0,180.0,383.0
0.0,0.2407936507936508,0.5357142857142857,0.0,0.0,0.0,0.125,0.18719298245614036,0.0,0.0,0.16417910447761194,1.0,0.0,0.0,0.02283,1.0610649664617913,1.3697492515628105,1.5550189815584268,1.2585433546677363,1.3274059960641789,1.4769011354570682,1.7638801536022886,1.5218500353370403,1.2129391692744764,0.6723257789136949,-1.0,240.0,339.0,330.0,413.0,135.0,159.0,484.0,327.0,241.0,79.0
0.0,0.2526984126984127,0.05053571428571429,0.0,0.0,0.6923076923076923,0.125,0.02631578947368421,0.0,0.0,0.014925373134328358,1.0,0.0,0.12,0.001,1.2619868887260017,1.7752527172080215,1.3454128010532636,1.5265823975860218,1.2109699164407899,1.7069789090075338,1.6500690360652068,1.731113144493782,1.0669080807590683,0.7561797628658998,-1.0,156.0,595.0,267.0,328.0,158.0,144.0,394.0,653.0,44.0,123.0
0.0,0.41,0.4969642857142857,0.0,0.0,0.6923076923076923,0.0,0.3026315789473684,0.0,0.0,0.08955223880597014,0.0,0.0,0.035,0.0,1.6179996171054636,1.321998914894227,0.8645473970701251,0.945422778172267,0.7457226967864072,1.1073894155263686,1.3140486543922478,1.5430723739638714,1.4632786100053563,0.8715442086816508,-1.0,555.0,578.0,382.0,634.0,165.0,377.0,307.0,339.0,22.0,504.0
0.0,0.6773015873015873,1.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5970149253731343,1.0,0.0,0.0,0.00015,3.058562359179927,3.1833692121538686,3.2153904006945195,2.398523386512571,2.700285194066379,3.383558981648405,3.7529540424632453,3.7087198331529843,3.1132293665859176,1.5294838615335253,-1.0,96.0,513.0,95.0,322.0,440.0,47.0,252.0,624.0,116.0,271.0
0.0,0.6441269841269841,0.24107142857142858,0.0,0.0,0.0,0.125,0.09210526315789473,0.0,0.0,0.16417910447761194,0.0,0.0,0.0,0.00284,0.9009588100419103,0.7965661840211743,0.5561927967849976,0.40166526777017253,0.5690179992063572,0.5991719545071507,0.7919955037082946,0.7818558862993393,0.9344671721444608,0.319919642500641,-1.0,464.0,133.0,466.0,339.0,409.0,91.0,235.0,121.0,323.0,14.0
1.0,0.43253968253968256,0.07285714285714286,0.5,0.5,0.6153846153846154,0.125,0.0043859649122807015,0.0,0.0,0.34328358208955223,0.0,0.0,0.2275,0.01236,2.126779641078474,3.1111977079911823,2.2175995488494653,1.2579726568830079,1.3004676498163967,1.780963020519481,1.4867332093420462,2.5507430410159775,1.7308597333208897,1.6384868754522555,-1.0,457.0,408.0,129.0,372.0,643.0,202.0,376.0,369.0,568.0,69.0
0.0,0.28841269841269845,0.15928571428571428,0.0,0.0,0.15384615384615385,0.125,0.21192982456140352,0.0,0.0,0.04477611940298507,1.0,0.0,0.1555,0.003,0.9822654898452255,1.3928709194144653,1.369451866827443,1.3445316239179521,1.2763822291598377,1.542094916766483,1.6860141069908137,1.56145287037721,1.0308480270777443,0.49688477027533645,-1.0,148.0,245.0,515.0,501.0,459.0,349.0,377.0,254.0,450.0,122.0
0.0,0.44047619047619047,0.055,0.0,0.0,0.23076923076923078,0.25,0.12280701754385964,1.0,1.0,0.0,1.0,0.0,0.108,0.0,1.347985995305791,2.2420008195305883,2.2325030237375834,2.295528425178597,2.668701078739874,2.382125356473377,2.4229545386826574,2.3083196541069326,1.9679962976200065,2.2908410117378346,-1.0,623.0,93.0,617.0,247.0,632.0,572.0,647.0,276.0,600.0,435.0
0.0,0.16142857142857145,0.02375,0.0,0.0,0.0,0.0,0.005789473684210527,1.0,1.0,0.0,1.0,0.0,0.05,0.0,0.7598422367787814,1.6160012386936529,1.901290855892541,1.7450355725608517,2.3351226849554263,1.7751215755711494,1.8997937085858576,1.6613679766619296,1.2467617783875706,2.0288051150201345,-1.0,453.0,161.0,555.0,316.0,185.0,542.0,160.0,321.0,142.0,493.0
1.0,0.19047619047619047,0.017857142857142856,0.0,0.0,0.0,0.125,0.03070175438596491,0.0,1.0,0.0,0.0,0.0,0.2455,0.0,0.6133123412835788,1.5898864551255332,1.8573371886964196,1.0581412661224479,1.475358188855469,0.48296768540390594,0.5998665566442589,1.4416009340459948,0.5369717279573734,1.6853528378220455,-1.0,558.0,442.0,105.0,101.0,525.0,162.0,650.0,175.0,371.0,597.0
0.0,0.19444444444444445,0.03571428571428571,0.0,0.0,0.6153846153846154,0.0,0.06140350877192982,0.0,1.0,0.0,0.0,0.0,0.14,0.0,1.0461937040365423,1.1881472068977221,1.1791612674492207,1.2482682740494127,1.2455948562688115,0.7939206116636052,0.7964007104516837,1.3354149862776268,0.7458089386797891,1.4463964901210526,-1.0,477.0,143.0,424.0,579.0,111.0,115.0,383.0,588.0,157.0,560.0
0.0,0.3757142857142857,0.07285714285714286,0.0,0.0,0.6923076923076923,0.0,0.0014035087719298247,0.0,1.0,0.0,0.0,0.0,0.2,0.058,1.3405889181932227,1.433158687006126,1.297210526820512,1.360064262822877,1.355200539752165,0.9375961408528932,0.9959939224001981,1.5689879818878099,0.96280978148999,1.5670845146214374,-1.0,348.0,341.0,458.0,428.0,616.0,549.0,64.0,521.0,425.0,125.0
0.0,0.33603174603174607,0.08928571428571429,0.0,0.0,0.6923076923076923,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1195,0.002,1.2463433380852653,1.3847886395621194,1.2475597582894182,1.284829605865567,1.3226250040246583,0.8657886234295565,0.9194032573495641,1.466085238247453,0.8828494859003431,1.5320329198951537,-1.0,532.0,142.0,520.0,12.0,269.0,534.0,201.0,564.0,431.0,335.0
0.0,0.3253968253968254,0.10714285714285714,0.0,0.0,0.15384615384615385,0.125,0.2601754385964912,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8001020902560462,0.9665221097156151,1.1695009074420402,1.184187633834608,1.3604495525392126,0.7974267257613932,0.8631747415256921,1.1702704065203124,0.7702882963755665,1.2180212886412825,-1.0,352.0,635.0,254.0,336.0,389.0,646.0,118.0,319.0,419.0,329.0
0.0,0.15206349206349204,0.41517857142857145,0.5,0.5,0.6923076923076923,0.0,0.029298245614035087,0.0,1.0,0.0,0.0,0.0,0.08,0.003,1.9390962397286824,2.276757657072375,2.006330884339963,1.5999638165608425,1.7273486029598406,1.5901462676450826,1.5976646146889728,2.2974214945336753,1.5671846942354846,1.9529062224440046,-1.0,68.0,332.0,540.0,64.0,455.0,478.0,77.0,371.0,166.0,477.0
0.0,0.14952380952380956,0.0,0.0,0.0,0.15384615384615385,0.0,0.0029824561403508773,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6805103247673581,1.438891556278055,1.8051416223474925,1.6161453778768076,1.904021603045932,1.2932669420886576,1.376378033099337,1.4570876467063623,0.4424015096950977,1.2834616787140862,-1.0,4.0,288.0,172.0,252.0,256.0,179.0,124.0,527.0,264.0,482.0
0.0,0.4853968253968254,0.017857142857142856,0.0,0.0,0.23076923076923078,0.125,0.17543859649122806,0.0,1.0,0.0,0.0,0.0,0.16,0.0,0.9905594772983606,1.1490347928793139,1.2310567091250202,1.2393124608483563,1.4185078048107698,0.8553180187945698,0.9590937373821079,1.3513491441777337,0.8942832801171515,1.2348036279824541,-1.0,508.0,540.0,310.0,527.0,210.0,422.0,192.0,320.0,244.0,376.0
0.0,0.34,0.16071428571428573,0.0,0.0,0.7692307692307693,0.125,0.20175438596491227,1.0,1.0,0.0,0.0,1.0,0.3555,0.0,2.1963503580291652,2.747991536209815,2.078903123089844,2.2027488116927567,2.8322966490707797,2.15764025530739,2.8022130545248296,3.2325823679483774,3.1378085850521233,3.263098817783586,-1.0,294.0,102.0,284.0,644.0,508.0,294.0,499.0,328.0,135.0,205.0
0.0,0.46825396825396826,0.10714285714285714,0.0,0.0,0.6153846153846154,0.125,0.21052631578947367,0.0,0.0,0.16417910447761194,1.0,0.0,0.04,0.0,1.561426382621815,2.0083515153498084,1.5738265185740858,1.6966732542855287,1.4737903899430451,2.002395005356411,1.9591073421429603,1.9973160638250618,1.3658325092782224,0.8557804006739012,-1.0,614.0,566.0,527.0,14.0,494.0,517.0,255.0,22.0,106.0,444.0
0.0,0.6825396825396826,0.4375,0.0,0.0,0.46153846153846156,0.0,0.043859649122807015,0.0,0.0,0.05970149253731343,0.0,0.0,0.1,0.0,1.4822575746367619,1.243348092371053,0.7458422110809901,0.6255442621332139,0.6913957025094979,0.8049588700491638,1.1687463999698966,1.3097653821056252,1.2966278954720678,0.6593255484553151,-1.0,13.0,358.0,409.0,441.0,338.0,60.0,100.0,324.0,124.0,367.0
0.0,0.28444444444444444,0.5773214285714285,0.0,0.0,0.07692307692307693,0.0,0.10526315789473684,0.0,0.0,0.13432835820895522,1.0,0.0,0.125,0.0073,1.1974601828319968,1.4223589524754308,1.582640778481334,1.1771243366807045,1.3287271259558766,1.3778287295709108,1.8260015128789675,1.6270697863647943,1.2235107303230843,0.6992756361330948,-1.0,531.0,247.0,25.0,34.0,245.0,495.0,266.0,363.0,343.0,380.0
1.0,0.1534920634920635,0.028214285714285716,0.5,0.5,0.6153846153846154,0.0,0.05263157894736842,0.0,0.0,0.029850746268656716,0.0,0.0,0.04,0.004,1.5740138094864802,2.6336676112346105,1.7468640905300068,0.9782313507565515,1.020271669631612,1.4339991071523426,1.160092592988101,2.080625615196794,1.102905531540032,1.3611393776606866,-1.0,245.0,37.0,80.0,60.0,145.0,284.0,284.0,392.0,518.0,221.0
